Name,URL
Fulbright Egypt Student Program,https://fulbright-egypt.org/program/student/
GKSS Scholarship Program,https://gksscholarship.com/
Study in Austria Scholarships,https://studyinaustria.at/en/study/scholarships
Chevening Scholarships,https://www.chevening.org/scholarships/
Japanese Government (MEXT) Scholarships,https://www.eg.emb-japan.go.jp/itpr_en/11_000001_00151.html
DAAD Scholarships,https://www.daad.de/en/studying-in-germany/scholarships/
Study in Poland Scholarships,https://study.gov.pl/
Chinese Government Scholarships,https://www.chinesescholarshipcouncil.com/
CAS Belt and Road Master Fellowship Program,https://www.chinesescholarshipcouncil.com/cas-the-belt-and-road-master-fellowship-programme.html
Chinese Government Scholarship - NWPU,https://studyat.nwpu.edu.cn/SCHOLARSHIPS1/Chinese_Government_Scholarships.htm
ANSO Talent Program,http://www.anso.org.cn/programmes/talent/s

